species_name,AddedBy_name
Hairy-legged Vampire Bat,Diphylla ecaudata
Big Naked-backed Bat,Pteronotus gymnonotus
Northern Little Yellow-eared Bat,Vampyressa thyone
Niceforo's Big-eared Bat,Trinycteris nicefori
Fringe-lipped Bat,Trachops cirrhosus
Bladder grasshopper,Pneumora inanis
Chestnut-headed Nunlet,Nonnula amaurocephala
White-quilled Rock Pigeon,Petrophassa albipennis
Silver-tipped Myotis,Myotis albescens
Restless Bush Cricket,Hapithus agitator
Genovesa Ground Finch,Geospiza acutirostris
Fringed Long-footed Myotis,Myotis fimbriatus
Japanese Pipistrelle,Pipistrellus abramus
White-throated Round-eared Bat,Lophostoma silvicola
Common Tent-making Bat,Uroderma bilobatum
Vampire Ground Finch,Geospiza septentrionalis
False jumping bush cricket,Hapithus luteolira
Calusa trig,Anaxipha calusa
Gambian Epauletted Fruit Bat,Epomophorus gambianus
Mundurra Balloon-winged Katydid,Hexacentrus mundurra
Queensland Palm Katydid,Segestidea queenslandica
Little Red Flying Fox,Pteropus scapulatus
Fall Field Cricket,Gryllus pennsylvanicus
Spring field cricket,Gryllus veletis
White-striped Free-tailed Bat,Austronomus australis
Froggatt's buzzer,Froggattina australis
Black Flying Fox,Pteropus alecto
Queensland Tube-nosed Fruit Bat,Nyctimene robinsoni
Long-billed Bush Warbler,Locustella major
Columbian trig,Cyrtoxipha columbiana
Handsome Trig,Phyllopalpus pulchellus
Opalton Grasswren,Amytornis rowleyi
White-breasted Ground Dove,Pampusana jobiensis
Pallas's Mastiff Bat,Molossus molossus
Common Black Mastiff Bat,Molossus rufus
Arabian Mouse-tailed Bat,Rhinopoma cystops
Sowell's Short-tailed Bat,Carollia sowelli
Seba's Short-tailed Bat,Carollia perspicillata
Great Fruit-eating Bat,Artibeus lituratus
Spectral Bat,Vampyrum spectrum
Arabian Barbastelle,Barbastella leucomelas
Naked-rumped Tomb Bat,Taphozous nudiventris
Maghreb Myotis,Myotis punicus
Lesser Myotis,Myotis blythii
Greater Noctule,Nyctalus lasiopterus
Bechstein's Myotis,Myotis bechsteinii
Greater Myotis,Myotis myotis
Natterer's Myotis,Myotis nattereri
Alcathoe Whiskered Myotis,Myotis alcathoe
Long-fingered Myotis,Myotis capaccinii
Eurasian Serotine,Eptesicus serotinus
Leisler's Noctule,Nyctalus leisleri
Brandt's Myotis,Myotis brandtii
Common Whiskered Myotis,Myotis mystacinus
Alpine Long-eared Bat,Plecotus macrobullaris
Cryptic Myotis,Myotis crypticus
Lesser Horseshoe Bat,Rhinolophus hipposideros
Greater Horseshoe Bat,Rhinolophus ferrumequinum
Mediterranean Horseshoe Bat,Rhinolophus euryale
Escalera's Myotis,Myotis escalerai
Geoffroy's Myotis,Myotis emarginatus
Gray Long-eared Bat,Plecotus austriacus
Schreibers's Long-fingered Bat,Miniopterus schreibersii
Kuhl's Pipistrelle,Pipistrellus kuhlii
Savi's Pipistrelle,Hypsugo savii
Pacific Tent-making Bat,Uroderma convexum
Proboscis Bat,Rhynchonycteris naso
Mesoamerican Common Mustached Bat,Pteronotus mesoamericanus
Heller's Broad-nosed Bat,Platyrrhinus helleri
Greater Bulldog Bat,Noctilio leporinus
Striped Hairy-nosed Bat,Gardnerycteris crenulatum
Tiny Big-eared Bat,Micronycteris minuta
Common Big-eared Bat,Micronycteris microtis
Hairy Big-eared Bat,Micronycteris hirsuta
Pygmy Round-eared Bat,Lophostoma brasiliense
Southern Yellow Bat,Dasypterus ega
Pallas's Long-tongued Bat,Glossophaga soricina
Argentine Serotine,Eptesicus furinalis
Brazilian Serotine,Eptesicus brasiliensis
Thomas's Fruit-eating Bat,Dermanura watsoni
Wrinkle-faced Bat,Centurio senex
Chestnut Short-tailed Bat,Carollia castanea
Jamaican Fruit-eating Bat,Artibeus jamaicensis
Pond Myotis,Myotis dasycneme
Northern Hoary Bat,Aeorestes cinereus
Eastern Red Bat,Lasiurus borealis
Indian Flying Fox,Pteropus medius
Big Brown Bat,Eptesicus fuscus
Black-breasted Buzzard,Hamirostra melanosternon
Daubenton's Myotis,Myotis daubentonii
European Free-tailed Bat,Tadarida teniotis
Star-spotted Nightjar,Caprimulgus stellatus
Jackson's Widowbird,Euplectes jacksoni
Todd's Nightjar,Setopagis heterura
Black-breasted Buttonquail,Turnix melanogaster
Williams's Lark,Mirafra williamsi
Southeastern field cricket,Gryllus rubens
Southern wood cricket,Gryllus fultoni
